cartodb_id,the_geom,notes,setting,episode,country,location,image,cartodb_georef_status
13,0101000020E6100000FB3F87F9F2821F407233DC80CFEF4040,Area west of Nefta: chott used for the Lars homestead[1],Tatooine desert and Lars homestead,IV,Tunisia,"Chott el Djerid, near Nefta",http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Chott_el_Djerid_-_Lars_homestead.jpg/75px-Chott_el_Djerid_-_Lars_homestead.jpg,true
17,,Scenes shot in the town include the exterior of the Mos Eisley Cantina. An old mosque outside the town was used for exterior shots of Obi-Wan Kenobi's house[1],Tatooine: Mos Eisley Spaceport,IV,Tunisia,"Ajim, Island of Djerba",http://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Star_Wars_Cantina._Photographed_by_Colin_Kenworthy.jpg/75px-Star_Wars_Cantina._Photographed_by_Colin_Kenworthy.jpg,false
18,,"Location for the deleted exterior scenes with Luke and Biggs Darklighter; also used as a backdrop in the Special Edition for the scene showing Luke's landspeeder heading towards Mos Eisley[1][18]",Tatooine: Tosche Station,IV,Tunisia,"Sidi Jemour, Island of Djerba",,false
20,,Exterior scenes during the battle of Hoth[20],Hoth,V,Norway,Hardangerjøkulen Glacier,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Kongsnuten_smt.jpg/75px-Kongsnuten_smt.jpg,false
22,,"Location used for the Great Pit of Carkoon scene [21][22]  Additional footage for the special edition of A New Hope of stormtroopers finding evidence of droids was shot here and cut in with original shots from La Grande Dune, Tunisia [23][24]",Tatooine exteriors,VI,USA,"Buttercup Valley, Yuma Desert",,false
10,0101000020E61000006ADE718A8E925B40A0C37C7901463940,Footage of limestone karst mountains which was later composited into the film for the backdrop of Kashyyyk[9],Kashyyyk,III,China,Guilin,http://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flussfahrt_auf_dem_Li-Fluss.jpg/75px-Flussfahrt_auf_dem_Li-Fluss.jpg,true
15,0101000020E6100000BF052340977B56C04CD8C8BFE0E83040,[15][16],Yavin IV Rebel Base,IV,Guatemala,Tikal,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Star_Wars_in_Guatemala_3.jpg/75px-Star_Wars_in_Guatemala_3.jpg,true
16,0101000020E61000009D465A2A6F375DC0CAFD0E45813A4240,"Several Tatooine scenes:[15][17]  Mesquite Flat Sand Dunes - scene where R2D2 goes his separate way after he and C3P0 crash their escape pod on Tatooine (spliced with footage shot in Tunisia) Artists Palette & Golden Canyon - Canyon where R2D2 is abducted by Jawas (spliced with footage shot at Sidi Bouhlel, Tunisia) Artist's Drive - Where the miniature Sandcrawler was filmed for the shot of R2D2 being carried up to it by Jawas Desolation Canyon - Canyon where Tusken Raiders mount Bantha before Luke Skywalker is attacked (spliced with Sidi Bouhlel footage) Dante's View - panoramic establishing shot of Mos Eisley (spliced with Sidi Bouhlel footage of Luke and Obi-Wan standing on rocky outcrop)",Tatooine desert,IV,USA,Death Valley National Park,http://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Mesquite_Sand_Dunes_in_Death_Valley.jpg/75px-Mesquite_Sand_Dunes_in_Death_Valley.jpg  http://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Death_Valley%2C19820817%2CDante%27s_View%2Cto_North.jpg/75px-Death_Valley%2C19820817%2CDante%27s_View%2Cto_North.jpg,true
23,0101000020E6100000E02D90A0F8F95EC03F8C101E6DD84440,,Endor forest scenes,VI,USA,"Del Norte County, CA",http://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Redwood_slope.jpg/75px-Redwood_slope.jpg,true
12,0101000020E61000005227A089B011204087F9F202EC4F4740,Footage of mountain scenery which was later composited into the film for the backdrop of the planet Alderaan[12],Alderaan,III,Switzerland,Grindelwald,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Jungfraujoch_img_3743.jpg/75px-Jungfraujoch_img_3743.jpg,true
